,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
3095,MEKA,12.70,12.58,14.70,10.56,20.42k,99.82k,,,,,,,,,,,Financial Services
3096,MGPI,77.05,67.80,89.50,45.61,151.7k,135.36k,81.52%,1.21%,9.35%,32.16%,28.68%,81.75%,92.00,87.09,,,Consumer Defensive
3097,MNDO,3.1424,3.1302,3.8000,2.4500,21.21k,24.16k,17.63%,1.81%,1.64%,-2.82%,-0.32%,19.69%,-,3.13,,,Technology
3098,MKSI,158.46,164.33,199.44,138.70,434.76k,425.78k,97.67%,7.74%,12.15%,17.95%,-0.21%,17.84%,216.20,177.77,132.40,146.50,Technology
3099,MTC,1.2781,1.5879,5.9400,0.6100,137.31k,144.57k,11.82%,-22.08%,-48.85%,-45.08%,-67.79%,-55.63%,-,0.69,-2.37,-2.17,Technology
3100,MSDA,9.88,9.85,10.50,9.67,56.67k,63.39k,48.23%,0.30%,0.00%,0.81%,-1.00%,-,-,9.85,,,Financial Services
3101,MVBF,41.95,40.82,45.94,21.24,27.32k,30.18k,46.04%,0.10%,0.75%,-0.66%,-1.76%,89.98%,46.00,41.91,12.82,12.61,Financial Services
3102,MYRG,109.74,94.52,121.22,54.87,119.21k,100.99k,91.94%,2.70%,-7.54%,6.09%,18.44%,82.68%,120.67,107.94,23.17,21.22,Industrials
3103,MACE,0.2904,0.4344,0.7400,0.2300,101.05k,176.45k,8.21%,,,,,,,,,,Industrials
3104,DRAY,9.82,9.80,10.18,9.61,340,47.86k,6.40%,0.51%,0.00%,1.03%,-,-,-,9.84,,,Financial Services
3105,MXIC,,,,,,,,,,,,,,,,,
3106,HITGX,,,,,,,,,,,,,,,,,
3107,MAFB,,,,,,,,,,,,,,,,,
3108,MGLN,94.67,94.42,99.36,82.94,186.08k,143.09k,99.79%,0.33%,0.51%,0.19%,0.73%,14.84%,95.00,94.94,5.94,-0.67,Healthcare
3109,MGIC,22.09,18.71,25.49,14.38,24.92k,34.84k,23.58%,1.25%,-2.85%,6.45%,30.07%,35.49%,25.00,21.21,7.50,7.78,Technology
3110,MECA,,,,,,,,,,,,,,,,,
3111,MGNI,21.32,29.78,64.39,15.83,2.02M,2.19M,68.68%,-6.85%,-7.56%,-38.58%,-49.76%,-43.58%,39.30,18.11,-24.32,36.81,Communication Services
3112,MHLD,3.1484,3.2998,4.0000,2.1000,87.38k,79.75k,49.54%,0.33%,-1.30%,-5.61%,-10.09%,26.78%,2.00,3.04,2.85,26.63,Financial Services
3113,MNSB,24.28,22.97,26.85,16.65,20.9k,13.06k,43.97%,4.71%,3.04%,0.87%,8.19%,45.07%,30.00,24.73,7.57,7.55,Financial Services
3114,MYNZ,9.60,9.60,18.00,7.80,81.46k,349.53k,,12.81%,6.24%,-,-,-,-,10.56,,,Healthcare
3115,MAJC,,,,,,,,,,,,,,,,,
3116,MMYT,29.78,28.47,39.02,22.96,255.2k,470.37k,68.35%,-2.67%,8.66%,7.64%,-7.69%,1.43%,36.20,28.72,-8.00,-24.28,Consumer Cyclical
3117,MBUU,70.08,75.38,93.00,60.81,114.11k,125.96k,106.47%,6.19%,-3.37%,-2.65%,-6.46%,10.15%,93.78,69.06,26.94,33.73,Consumer Cyclical
3118,MACUU,10.27,10.26,11.75,10.06,110,59,10.66%,,,,,,,,,,Financial Services
3119,MAMA,,,,,,,,,,,,,,,,,
3120,MANT,75.65,81.82,101.35,66.91,276.04k,157.55k,100.92%,4.48%,4.48%,-4.86%,-14.91%,-14.40%,81.50,73.91,37.96,36.61,Technology
3121,MNDT,17.50,19.06,24.15,15.72,3.4M,2.78M,91.10%,2.15%,1.86%,0.00%,-13.16%,-21.43%,20.32,17.77,-68.22,-64.70,Technology
3122,LOAN,6.02,6.35,8.05,4.89,43.21k,50.65k,9.88%,-3.17%,0.17%,-15.67%,-25.99%,9.21%,7.00,5.71,1.11,1.06,Real Estate
3123,MNKD,4.5550,4.4429,6.2500,3.0300,2.34M,2.74M,46.46%,-0.23%,-5.60%,-2.23%,-19.63%,33.13%,6.25,4.41,-4.43,-35.52,Healthcare
3124,MARA,50.06,37.58,83.45,10.53,11.64M,13.42M,37.36%,-1.51%,-34.01%,10.78%,8.10%,188.35%,63.63,35.03,-22.17,-108.88,Financial Services
3125,GATE,9.79,9.79,9.82,9.76,106.64k,106.76k,0.00%,0.00%,-,-,-,-,-,9.77,-0.00,0.00,Financial Services
3126,MCHX,2.8602,2.8846,3.6700,1.9900,48.75k,91.02k,67.36%,-0.76%,0.00%,-13.25%,-14.38%,23.58%,4.38,2.58,3.31,-0.33,Communication Services
3127,MRIN,5.5632,5.2824,27.2600,1.3400,1.02M,1.2M,19.26%,-15.04%,-28.76%,-54.07%,-64.21%,84.62%,-,3.96,-3.13,-2.50,Technology
3128,LEDR,,,,,,,,,,,,,,,,,
3129,MKTW,7.05,8.99,16.97,5.56,270.96k,228.06k,,,,,,,,,,,Technology
3130,MRLN,22.90,21.62,23.25,11.35,43.49k,28.13k,76.58%,0.69%,1.26%,4.64%,2.07%,91.04%,-,23.25,5.48,10.26,Financial Services
3131,MRAI,4.6334,4.6334,6.3100,3.3000,1.04M,2.94M,,5.35%,17.97%,-,-,-,-,4.41,-4.79,,Healthcare
3132,MBII,0.7844,1.2840,2.9000,0.6200,532.01k,641.78k,74.01%,-1.14%,4.41%,-23.03%,-57.23%,-41.80%,2.43,0.73,-4.95,-3.04,Basic Materials
3133,MSHLD,,,,,,,,,,,,,,,,,
3134,MMLP,2.9780,2.8921,3.6700,1.4300,151.19k,116.27k,31.90%,-7.17%,-2.63%,-24.27%,-14.24%,77.40%,3.50,2.69,-6.91,-6.61,Energy
3135,MASI,286.88,259.30,305.21,205.10,236.63k,239.93k,85.36%,3.51%,1.63%,8.35%,20.85%,9.83%,320.75,295.9,,,Healthcare
3136,MATV,,,,,,,,,,,,,,,,,
3137,MTXC,,,,,,,,,,,,,,,,,
3138,MAT,21.41,20.75,23.31,16.85,2.78M,3.17M,99.94%,4.18%,-3.16%,8.84%,5.32%,22.58%,27.20,21.43,,,Consumer Cyclical
3139,MFRM,,,,,,,,,,,,,,,,,
3140,MIGI,9.79,5.62,17.25,0.20,208.57k,164.57k,0.05%,-11.38%,-32.46%,-29.47%,-11.84%,458.33%,17.00,6.59,-2.50,-6.24,Technology
3141,MXL,67.34,48.85,77.89,30.47,536.79k,563.27k,86.63%,5.93%,10.64%,54.02%,79.43%,114.46%,75.60,75.92,9.26,0.73,Technology
3142,MXIM,,,,,,,,,,,,,,,,,
3143,MRTI,157.57,145.32,175.00,119.00,210,69,0.00%,,,,,,,,,,Real Estate
3144,MFLR,,,,,,,,,,,,,,,,,
3145,MCFE,24.67,25.07,32.83,16.47,1.77M,2.01M,95.28%,-0.08%,0.55%,15.48%,7.31%,84.02%,25.43,25.75,742.00,36.00,Technology
3146,MLAI,9.87,9.87,10.05,9.80,215.78k,215.78k,13.87%,,,,,,,,,,Financial Services
3147,MCDT,,,,,,,,,,,,,,,,,
3148,MVCO,,,,,,,,,,,,,,,,,
3149,MKTY,11.33,8.81,18.90,1.27,185.35k,206.24k,4.30%,,,,,,,,,,
3150,MDVL,2.0250,7.5370,17.4800,1.2100,250.61k,151.81k,85.38%,23.20%,-11.49%,-46.53%,-87.43%,-89.65%,7.50,1.49,-11.27,-10.46,Healthcare
3151,MDRR,1.1160,1.3232,3.4000,0.9600,200.78k,146.53k,2.01%,-3.79%,-6.51%,-17.42%,-27.13%,-54.12%,3.00,0.97,-0.87,-0.68,Real Estate
3152,MDTH,,,,,,,,,,,,,,,,,
3153,MDWD,2.9229,3.8276,6.2200,2.2000,101.93k,99.74k,13.87%,0.81%,-11.41%,-30.45%,-39.16%,-40.86%,6.92,2.35,-3.35,-3.19,Healthcare
3154,MDIAV,,,,,,,,,,,,,,,,,
3155,MDNU,,,,,,,,,,,,,,,,,
3156,MDNA,1.9711,2.8223,4.8400,1.4700,301.35k,195.07k,9.26%,-3.51%,-13.16%,-35.55%,-45.18%,-64.74%,-,1.7,,,Healthcare
3157,MNOV,3.2820,3.9068,10.8100,2.5700,252.12k,522k,27.00%,-4.71%,-23.10%,-30.79%,-38.12%,-48.53%,16.50,2.7,-3.58,-4.28,Healthcare
3158,MSAC,9.72,9.71,10.29,9.58,2.02k,26.72k,89.18%,-0.10%,-0.00%,1.04%,0.73%,-,-,9.7,2.26,-1.54,Financial Services
3159,MEDW,,,,,,,,,,,,,,,,,
3160,MDWW,,,,,,,,,,,,,,,,,
3161,WNW,3.1362,5.7611,40.0000,2.2400,193.06k,949.45k,0.16%,9.36%,-15.18%,-38.22%,-61.06%,-93.48%,-,2.48,-0.78,-0.51,Consumer Cyclical
3162,MELR,,,,,,,,,,,,,,,,,
3163,MRD,,,,,,,,,,,,,,,,,
3164,MENT,,,,,,,,,,,,,,,,,
3165,AQQQ,,,,,,,,,,,,,,,,,
3166,MRQQ,,,,,,,,,,,,,,,,,
3167,MSPX,,,,,,,,,,,,,,,,,
3168,MRNT,,,,,,,,,,,,,,,,,
3169,MBNAB,,,,,,,,,,,,,,,,,
3170,MBWM,35.10,32.52,37.33,26.75,55.19k,38.88k,54.71%,1.58%,3.25%,8.38%,16.89%,32.11%,36.25,35.27,15.86,16.12,Financial Services
3171,MPRAU,10.06,10.06,10.16,10.02,8.54k,302.85k,6.40%,,,,,,,,,,Financial Services
3172,MBIN,45.80,41.17,49.50,26.96,83.35k,49.33k,22.80%,3.45%,4.60%,23.04%,22.91%,75.57%,52.33,47.82,28.88,28.87,Financial Services
3173,MEAC,9.82,9.82,10.77,9.63,6.97k,41.53k,28.49%,,,,,,,,,,Financial Services
3174,MREO,1.9582,2.7321,4.7110,1.4500,878.59k,885.47k,84.71%,-4.85%,-13.26%,-34.58%,-50.47%,-55.40%,9.33,1.62,-124.62,-18.62,Healthcare
3175,EBSB,21.83,20.27,25.72,13.63,415.67k,266.3k,67.67%,,,,,,,,,,
3176,MRBK,33.61,28.58,38.07,18.50,17.47k,12.15k,44.66%,,,,,,,,,,Financial Services
3177,MMSI,66.08,65.16,73.85,52.43,485.73k,312.35k,99.37%,5.20%,-0.67%,-11.14%,-0.90%,17.53%,78.88,64.35,11.97,4.92,Healthcare
3178,LERA,,,,,,,,,,,,,,,,,
3179,ANNY,,,,,,,,,,,,,,,,,
3180,MTSM,,,,,,,,,,,,,,,,,
3181,MNNY,,,,,,,,,,,,,,,,,
3182,DOTN,,,,,,,,,,,,,,,,,
3183,MERB,,,,,,,,,,,,,,,,,
3184,MRSN,7.57,11.86,27.28,4.84,1.05M,776.49k,97.94%,-2.04%,-13.25%,-38.26%,-57.58%,-78.73%,22.67,6.24,-45.47,-40.91,Healthcare
3185,MESA,7.20,9.06,17.40,5.16,810.78k,587.68k,67.69%,1.44%,-21.37%,-28.64%,-39.66%,-8.90%,9.62,5.72,-7.50,4.28,Industrials
3186,CASH,60.23,52.61,65.96,32.76,369.05k,285.31k,86.79%,5.85%,-2.82%,14.27%,18.27%,67.45%,68.75,59.85,31.30,31.34,Financial Services
3187,FB,332.19,334.91,384.33,244.61,19.7M,23.29M,80.07%,2.62%,1.45%,0.98%,-1.37%,23.90%,401.01,344.63,"9,194.00","10,394.00",Communication Services
3188,MTSX,,,,,,,,,,,,,,,,,
3189,MTLK,0.9292,0.8031,1.4600,0.4300,440,598,0.00%,,,,,,,,,,Financial Services
3190,MEOH,43.27,39.01,52.88,29.61,297.7k,381.04k,84.57%,-5.39%,-5.14%,-15.24%,19.93%,-13.29%,45.83,40.3,,,Basic Materials
3191,MTON,,,,,,,,,,,,,,,,,
3192,MILE,2.7486,6.2224,20.3900,2.0300,3.13M,3.32M,62.13%,-13.19%,-22.73%,-43.02%,-77.70%,-86.24%,5.13,2.2,,,Financial Services
3193,MCGCR,,,,,,,,,,,,,,,,,
3194,MDXG,7.17,9.72,15.99,5.30,904.2k,619.51k,50.54%,-9.71%,-16.67%,-4.65%,-52.44%,-35.88%,14.50,6.11,-2.34,-1.78,Healthcare
3195,MTIX,,,,,,,,,,,,,,,,,
3196,MBOT,6.22,7.15,10.69,4.31,10.18M,1.68M,21.14%,67.68%,55.43%,18.57%,4.53%,19.77%,20.00,7.85,-2.56,-2.51,Healthcare
3197,MITI,0.2216,0.2544,0.6000,0.0300,389.99k,440.73k,0.07%,,,,,,,,,,Healthcare
3198,MU,79.65,79.51,96.96,65.67,25.24M,19.03M,84.07%,6.05%,11.64%,34.24%,13.17%,36.97%,106.81,94.97,"2,306.00","2,720.00",Technology
3199,MSFT,330.65,286.43,349.67,211.94,26.63M,26.1M,71.87%,4.48%,1.58%,20.40%,26.23%,52.55%,367.58,341.8,"20,505.00","16,458.00",Technology
3200,MVST,8.02,10.27,25.20,5.51,1.56M,1.46M,9.46%,-14.26%,-35.40%,-35.70%,-59.43%,-67.08%,7.00,5.76,-117.99,-2.05,Industrials
3201,MVIS,7.58,12.95,28.00,4.86,4.18M,4.9M,25.13%,-11.76%,-28.27%,-54.14%,-69.55%,-19.30%,-,5.36,,,Technology
3202,MPB,29.98,27.77,33.89,20.74,74.63k,48.9k,42.43%,1.73%,-0.41%,14.35%,15.56%,37.01%,34.75,31.69,11.43,10.34,Financial Services
3203,MOFG,32.30,30.64,34.65,23.88,36.41k,27.66k,64.59%,3.13%,3.78%,8.07%,14.56%,36.03%,37.20,32.96,,,Financial Services
3204,MBCN,25.56,23.81,27.77,18.64,12.73k,13.92k,31.70%,,,,,,,,,,Financial Services
3205,MBHI,,,,,,,,,,,,,,,,,
3206,OSKY,,,,,,,,,,,,,,,,,
3207,MIST,6.01,5.80,9.03,5.09,44.21k,36.63k,74.34%,-5.82%,20.00%,19.79%,22.18%,0.15%,13.60,7.0,-14.22,0.77,Healthcare
3208,SMCGU,,,,,,,,,,,,,,,,,
3209,TIGO,32.60,37.88,46.18,26.18,123.7k,56.79k,19.14%,5.35%,-8.67%,-18.96%,-27.82%,-26.56%,44.20,28.44,5.00,-100.00,Communication Services
3210,MNMD,2.1201,2.7680,5.7700,1.4580,3.53M,3.78M,0.77%,-10.84%,-24.87%,-37.02%,-57.10%,-51.63%,-,1.51,,,Healthcare
3211,NERV,1.1324,1.9806,3.7500,0.8050,461.1k,581.69k,58.66%,-7.65%,-15.20%,-52.09%,-63.45%,-62.48%,7.00,0.84,-9.21,-10.59,Healthcare
3212,YGMZ,2.3726,3.7091,58.0000,1.5200,2.19M,501.34k,0.12%,15.85%,-5.78%,-29.33%,-55.37%,-79.96%,-,2.04,0.68,0.11,Industrials
3213,MEOA,9.96,9.96,10.04,9.91,6.2k,75.99k,6.64%,0.05%,-0.35%,-,-,-,-,9.98,,,Financial Services
3214,MGEN,,,,,,,,,,,,,,,,,
3215,MIRM,15.15,16.72,22.14,12.82,129.08k,168.44k,78.65%,0.25%,20.54%,-15.75%,-9.02%,-19.50%,54.71,16.16,-47.11,-43.89,Healthcare
3216,MSSN,,,,,,,,,,,,,,,,,
3217,MITK,17.73,18.14,23.29,13.52,431.49k,406.44k,69.36%,2.60%,1.05%,-4.09%,-9.92%,0.87%,25.75,17.53,1.81,2.98,Technology
3218,MITSY,457.37,451.08,502.81,357.73,4.39k,2.97k,0.06%,,,,,,,,,,Energy
3219,MMABD,,,,,,,,,,,,,,,,,
3220,MOSY,5.1707,5.0826,10.7500,2.3100,200.26k,451.47k,17.02%,,,,,,,,,,Technology
3221,MOBL,7.04,6.56,7.40,2.94,,1.59M,,,,,,,,,,,
3222,MMPT,,,,,,,,,,,,,,,,,
3223,MRNA,287.25,272.78,497.49,103.26,10.58M,12.84M,57.87%,-7.56%,-32.73%,-34.58%,5.49%,116.70%,299.53,245.54,"3,333.00","2,780.00",Healthcare
3224,MOGO,4.8714,6.3156,12.2900,3.0400,1.53M,1.29M,14.30%,-1.42%,-28.60%,-20.78%,-55.80%,-11.03%,-,3.54,,,Technology
3225,MDCC,,,,,,,,,,,,,,,,,
3226,MTEM,4.6656,7.1645,15.1900,3.3000,408.95k,261.75k,82.01%,-8.17%,-18.40%,-49.63%,-56.91%,-64.00%,11.57,4.13,-30.39,-15.60,Healthcare
3227,MNTA,,,,,,,,,,,,,,,,,
3228,MNTS,8.0970,10.5519,29.1800,4.1100,537.16k,452.85k,,-12.55%,-41.46%,-61.69%,-70.08%,-77.42%,-,4.17,-5.61,-2.88,Industrials
3229,MCRI,70.11,67.52,76.00,50.01,72.04k,48.78k,66.80%,3.38%,8.61%,7.49%,11.00%,28.93%,83.75,74.54,22.31,18.15,Consumer Cyclical
3230,MDLZ,62.06,61.62,66.54,52.91,7.16M,6.54M,78.44%,3.19%,9.45%,12.40%,6.29%,13.55%,70.52,65.86,,,Consumer Defensive
3231,MGI,6.61,8.18,12.36,5.06,2.91M,2.9M,71.30%,-6.23%,25.33%,-6.70%,-25.40%,41.89%,9.56,7.62,,,Financial Services
3232,MNRTA,,,,,,,,,,,,,,,,,
3233,MGRM,,,,,,,,,,,,,,,,,
3234,MNPR,4.4156,5.2106,17.0100,3.0200,29.56k,27.51k,1.48%,-13.96%,-25.49%,-29.96%,-42.44%,-47.60%,28.40,3.38,-2.46,-2.08,Healthcare
3235,MNRO,59.61,61.49,72.67,52.26,269.32k,191.12k,114.01%,2.27%,2.89%,-0.43%,-6.25%,14.28%,63.00,59.71,20.98,15.68,Consumer Cyclical
3236,MNST,88.86,92.23,99.89,80.92,2.15M,2.34M,65.66%,3.23%,10.29%,7.23%,4.86%,5.22%,104.66,95.99,337.20,403.76,Consumer Defensive
3237,GLUE,21.10,24.70,45.56,15.67,174.71k,137.7k,,3.55%,1.56%,-13.69%,-13.88%,-,34.00,20.85,-19.84,-18.41,Healthcare
3238,MONCU,10.02,10.00,10.50,9.72,880,6.01k,25.69%,-0.10%,-0.20%,-0.79%,0.20%,-,-,9.99,2.93,-4.87,Financial Services
3239,NAPX,,,,,,,,,,,,,,,,,
3240,MFUN,,,,,,,,,,,,,,,,,
3241,NBXZ,,,,,,,,,,,,,,,,,
3242,NDDM,,,,,,,,,,,,,,,,,
3243,MHGC,,,,,,,,,,,,,,,,,
3244,MORN,318.17,268.81,350.21,213.55,132.47k,89.19k,54.13%,2.18%,7.88%,30.47%,33.81%,52.84%,-,342.4,49.00,32.90,Financial Services
3245,MOTAW,,,,,,,,,,,,,,,,,
3246,MPAA,18.57,20.94,26.42,15.84,180.68k,86.44k,98.88%,2.16%,2.46%,-14.79%,-23.98%,-10.82%,28.00,17.2,3.68,0.86,Consumer Cyclical
3247,MCAC,,,,,,,,,,,,,,,,,
3248,MCAD,10.00,9.95,12.99,8.50,939.51k,101.27k,27.87%,,,,,,,,,,
3249,MCAF,9.84,9.81,10.00,9.60,2.98k,30.11k,,,,,,,,,,,Financial Services
3250,MCAG,9.73,9.73,9.82,9.71,11.08k,79.48k,,0.31%,-,-,-,-,-,9.74,,,Financial Services
3251,MCAAU,10.20,10.20,10.30,10.10,40.17k,412.34k,,,,,,,,,,,Financial Services
3252,MOVED,,,,,,,,,,,,,,,,,
3253,MOXC,5.0426,9.3717,31.3800,1.3000,439.68k,226.44k,18.83%,-13.09%,-21.08%,-51.31%,-84.21%,137.84%,-,3.73,0.05,-1.68,Communication Services
3254,MROI,,,,,,,,,,,,,,,,,
3255,MTCT,,,,,,,,,,,,,,,,,
3256,MTMCD,,,,,,,,,,,,,,,,,
3257,MUDS,9.95,11.09,18.78,9.69,112.24k,112.23k,68.70%,0.20%,0.00%,0.00%,-20.22%,-,-,9.94,112.28,-115.90,Financial Services
3258,MBNDD,,,,,,,,,,,,,,,,,
3259,GRIL,1.0992,1.3164,3.7000,0.6700,1.51M,2.87M,5.25%,-12.64%,-34.44%,-33.81%,-50.83%,-63.96%,-,0.7,-1.12,-3.71,Consumer Cyclical
3260,MYMD,7.61,6.18,10.48,3.30,103.13k,167.1k,17.26%,-14.62%,-27.67%,-23.96%,-12.86%,40.77%,-,5.64,-5.47,-18.09,Healthcare
3261,MYND,,,,,,,,,,,,,,,,,
3262,MYRXV,,,,,,,,,,,,,,,,,
3263,NBTB,37.40,37.17,42.79,31.02,190.74k,116.94k,56.03%,3.02%,5.85%,6.14%,7.09%,21.90%,42.00,38.46,43.63,43.79,Financial Services
3264,NTGR,29.11,34.88,46.38,26.07,393.53k,357.59k,104.22%,3.65%,15.24%,-7.49%,-20.67%,-25.22%,30.20,29.79,,,Technology
3265,NGM,18.94,22.00,32.12,14.90,490.42k,306.65k,69.65%,-6.81%,-0.80%,-14.80%,-11.82%,-44.69%,35.50,17.79,-28.86,-36.69,Healthcare
3266,NLSP,1.8081,2.7447,7.3500,1.1000,505.86k,859.98k,0.59%,-13.74%,-35.43%,-55.16%,-64.01%,-,10.00,1.14,,,Healthcare
3267,NNBR,4.9012,6.2210,9.6200,3.8400,212.47k,168.05k,87.25%,-0.98%,-11.21%,-22.16%,-45.03%,-35.46%,9.50,4.11,-3.38,-5.39,Industrials
3268,NVEEU,,,,,,,,,,,,,,,,,
3269,NVDA,290.06,209.15,346.47,115.67,50.11M,42.36M,66.46%,3.18%,-10.11%,46.23%,49.99%,131.79%,342.16,303.15,,,Technology
3270,NXTD,3.2002,6.8939,34.4000,2.3500,9.47M,4.42M,18.58%,26.44%,11.86%,-13.20%,-62.92%,-74.81%,-,3.24,-0.64,-0.56,Industrials
3271,NAKD,8.88,9.29,51.00,2.87,6.23M,4.15M,0.22%,-20.58%,-40.02%,-46.58%,-40.66%,94.05%,-,5.85,-49.89,-18.45,
3272,NSTG,43.58,55.57,86.42,35.24,527.94k,569.24k,108.42%,-1.58%,-0.83%,-12.04%,-37.41%,-37.67%,71.80,42.37,-31.26,-27.02,Healthcare
3273,NSPH,,,,,,,,,,,,,,,,,
3274,NH,1.3619,2.0990,5.4500,0.9210,162.55k,105.75k,20.75%,0.94%,-14.40%,-35.15%,-53.88%,-65.15%,3.25,1.02,-10.84,-15.30,Healthcare
3275,NARA,,,,,,,,,,,,,,,,,
3276,NPSN,,,,,,,,,,,,,,,,,
3277,NATHW,,,,,,,,,,,,,,,,,
3278,FIZZ,54.63,49.84,98.21,38.73,278.89k,264.26k,26.99%,-1.61%,-10.70%,-7.62%,2.74%,12.60%,41.67,45.03,39.28,53.82,Consumer Defensive
3279,NCOCD,,,,,,,,,,,,,,,,,
3280,NADX,,,,,,,,,,,,,,,,,
3281,NHLD,,,,,,,,,,,,,,,,,
3282,NATI,42.95,42.17,47.40,38.10,539.88k,726.82k,90.64%,4.23%,2.63%,12.01%,4.30%,2.39%,50.60,44.2,27.18,17.31,Technology
3283,NRCIB,,,,,,,,,,,,,,,,,
3284,NSEC,10.18,10.69,13.25,8.91,1.16k,324,2.54%,-4.75%,-4.65%,-15.03%,-22.18%,-20.56%,-,9.05,-0.64,-1.04,Financial Services
3285,EYE,52.73,52.19,65.92,41.58,468.87k,731.8k,116.61%,3.74%,2.71%,-16.82%,-5.69%,5.31%,61.55,48.79,40.99,37.60,Consumer Cyclical
3286,NMHC,,,,,,,,,,,,,,,,,
3287,NHTC,7.16,7.10,8.75,4.91,14.78k,26.34k,13.19%,1.82%,-3.17%,-5.34%,-3.72%,34.06%,-,6.71,,,Consumer Cyclical
3288,NATR,17.39,17.91,21.50,13.85,82.84k,77.57k,80.66%,3.09%,8.36%,25.72%,7.48%,34.84%,24.00,18.81,4.86,6.54,Consumer Defensive
3289,NTUS,24.69,25.77,29.70,19.93,197.42k,120.28k,98.82%,-1.22%,4.62%,-3.62%,-6.66%,25.00%,-,24.43,5.57,3.46,Healthcare
3290,NAUT,5.26,8.35,25.89,4.41,661.18k,446.32k,47.26%,5.69%,21.88%,-9.58%,-44.85%,-48.85%,11.50,5.6,-14.50,-10.71,Healthcare
3291,ISM,,,,,,,,,,,,,,,,,
3292,NAVI,20.35,19.29,23.80,9.87,2.08M,1.84M,88.48%,0.47%,7.37%,10.55%,10.04%,117.71%,21.50,21.25,173.00,185.00,Financial Services
3293,BULKW,,,,,,,,,,,,,,,,,
3294,NCRI,,,,,,,,,,,,,,,,,
3295,NCRX,,,,,,,,,,,,,,,,,
3296,NMRD,5.3002,7.4260,17.4000,3.7100,42.86k,32.8k,4.55%,-7.98%,-7.41%,-21.88%,-56.52%,16.28%,13.25,4.5,-3.49,-3.34,Healthcare
3297,NEO,38.38,43.60,61.57,29.66,1.14M,983.84k,95.90%,-6.03%,-7.34%,-32.99%,-27.58%,-37.80%,50.18,33.98,-20.35,75.87,Healthcare
3298,NEOG,42.90,44.06,48.85,38.62,645.58k,344.62k,95.48%,4.12%,12.25%,4.64%,-0.11%,14.70%,55.00,46.38,10.83,17.08,Healthcare
3299,NTGN,,,,,,,,,,,,,,,,,
3300,NEON,9.56,7.63,12.42,4.56,41.2k,111.47k,7.20%,-5.12%,-10.94%,-17.05%,41.17%,28.09%,16.00,8.96,,,Technology
3301,NVCN,0.6876,0.8218,2.6000,0.4500,488.41k,433.7k,12.31%,-13.42%,-37.90%,-37.06%,-51.01%,-54.38%,-,0.47,,,Healthcare
3302,NEPH,7.18,8.08,11.67,5.88,23.82k,9.32k,52.22%,-8.13%,-17.18%,-30.08%,-37.36%,-27.23%,13.42,5.93,-1.22,-1.19,Healthcare
3303,NRDS,19.77,19.77,34.44,13.88,428.72k,914.47k,24.70%,-0.87%,-28.18%,-,-,-,31.33,15.18,,,Financial Services
3304,UEPS,5.20,4.94,6.97,3.84,421.22k,228.71k,48.09%,-0.55%,12.55%,16.20%,14.23%,12.08%,7.00,5.43,-12.99,1.64,Technology
3305,NTBK,,,,,,,,,,,,,,,,,
3306,NTAP,89.83,83.45,94.69,58.83,1.38M,1.54M,94.47%,3.65%,1.81%,3.16%,13.88%,43.24%,99.85,92.49,,,Technology
3307,NTGRV,,,,,,,,,,,,,,,,,
3308,NETL,,,,,,,,4.12%,4.40%,7.03%,6.78%,24.34%,-,31.72,,,
3309,NTCT,30.95,28.77,34.87,24.82,474.95k,738.42k,97.66%,3.22%,12.50%,24.83%,18.92%,23.96%,34.88,33.76,,,Technology
3310,NTST,22.96,23.14,26.92,16.63,273.06k,247.1k,98.23%,5.56%,3.20%,-5.95%,-2.04%,17.05%,27.20,22.77,,,Real Estate
3311,NEI,,,,,,,,,,,,,,,,,
3312,NBSE,3.2572,4.3286,12.8900,2.5200,146.58k,156.14k,32.74%,-8.71%,-15.76%,-27.62%,-45.30%,-62.14%,16.25,2.68,-7.16,-8.66,Healthcare
3313,NRBO,1.6534,2.9729,7.6090,1.2000,169.4k,563.71k,30.77%,-20.65%,-25.90%,-66.67%,-63.06%,-77.84%,16.00,1.28,-3.46,-3.92,Healthcare
3314,NMTC,2.4877,5.0233,13.5000,1.8800,70.99k,124.5k,18.82%,-15.93%,-11.63%,-51.90%,-71.34%,-60.17%,5.88,1.95,-2.64,-2.95,Healthcare
3315,NRMX,,,,,,,,,,,,,,,,,
3316,NUROD,,,,,,,,,,,,,,,,,
3317,NPCE,12.32,18.82,27.38,8.29,37.28k,53.22k,21.47%,-8.46%,-14.31%,-45.74%,-62.25%,-,22.20,9.28,,,Healthcare
3318,NEBSD,,,,,,,,,,,,,,,,,
3319,NOOF,,,,,,,,,,,,,,,,,
3320,NMFC,13.72,13.32,14.11,11.15,409.3k,256.22k,32.83%,3.16%,0.88%,2.32%,4.02%,20.92%,13.88,13.69,21.85,75.81,Financial Services
3321,NPAB,,,,,,,,,,,,,,,,,Financial Services
3322,NVSA,9.76,9.72,10.31,9.61,45.21k,52.86k,51.28%,0.10%,-0.20%,-0.10%,0.72%,-,-,9.73,3.53,3.39,Financial Services
