,Symbols,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector
4181,RPTX,23.82,29.55,46.44,18.38,120.55k,250.53k,79.17%,-5.05%,-14.76%,-19.56%,-33.68%,-39.41%,46.78,21.6,-30.89,-26.31,Healthcare
4182,REPL,29.88,32.23,46.64,24.85,329.89k,233.7k,94.33%,0.30%,-6.53%,-9.41%,-30.37%,-34.48%,53.78,27.74,-29.36,-27.31,Healthcare
4183,KRMD,3.1366,3.4432,6.0700,2.3000,139.38k,169.05k,59.74%,-2.61%,-16.06%,0.68%,-35.64%,-48.89%,4.67,2.96,-1.09,-1.12,Healthcare
4184,RUTX,,,,,,,,,,,,,,,,,
4185,REFR,2.0834,2.3510,5.6600,1.6500,116.45k,76.11k,10.60%,-3.45%,-18.84%,-33.33%,-29.11%,-40.43%,-,1.7,0.02,-0.53,Technology
4186,RSVR,8.33,9.11,11.58,6.84,100.93k,98.59k,39.11%,-3.35%,3.45%,-12.18%,-24.47%,-,13.33,7.72,-0.85,-0.25,Communication Services
4187,RECN,,,,,,,,,,,,,,,,,
4188,HAIR,,,,,,,,,,,,,,,,,
4189,ROIC,18.43,17.76,19.74,12.79,1.09M,1.06M,97.47%,1.90%,8.73%,8.66%,9.46%,46.78%,20.00,19.46,21.09,16.48,Real Estate
4190,RTRX,,,,,,,,,,,,,,,,,
4191,RVNC,14.95,24.87,33.83,12.34,501.03k,1.35M,88.92%,-3.38%,32.99%,-40.25%,-44.10%,-39.66%,28.11,16.9,,,Healthcare
4192,RAAC,,,,,,,,,,,,,,,,,
4193,DINED,,,,,,,,,,,,,,,,,
4194,RZLT,5.5414,8.2678,17.4700,4.0100,79.73k,83.88k,31.32%,1.47%,-8.37%,-35.30%,-66.22%,-62.75%,20.40,4.78,,,Healthcare
4195,RBKB,10.76,10.67,13.10,8.50,2.37k,2.71k,15.14%,,,,,,,,,,Financial Services
4196,RYTM,11.14,16.10,43.26,8.44,498.96k,357.23k,97.82%,-6.61%,21.24%,-18.65%,-45.20%,-64.09%,30.14,10.66,-35.11,-35.39,
4197,RBBN,5.88,6.85,11.25,5.11,439.12k,332.31k,67.64%,-1.61%,10.31%,2.18%,-19.84%,-5.86%,9.33,6.11,-59.43,23.24,Communication Services
