,Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Updated_Price,Predict_Inc_Dec
1847,28.89,28.55,45.44,22.0,692220.0,790000.0,0.957,-0.0399,0.0037,0.0377,-0.0436,-0.1875,53.11,27.96,-112.71,-117.32,4.609999999999999,3,23.67,0
1849,3.7168,5.0233,22.2,2.83,86870.0,222900.0,0.1543,-0.1372,-0.1875,-0.276,-0.4208,-0.446,16.5,2.9,-4.07,-3.51,-0.5600000000000005,3,2.92,1
1850,13.29,11.52,15.81,5.76,197290.0,271460.0,0.8187000000000001,0.1267,-0.0121999999999999,0.1346,0.018,0.9607,21.6,12.85,25.0,-43.8,68.8,7,12.97,1
1856,50.5,55.2,68.49,47.87,28090000.0,31760000.0,0.6501,0.0209,0.0366,-0.031,-0.0768,0.0494,55.02,52.04,6823.0,5061.0,1762.0,4,54.94,1
1860,75.36,69.11,82.83,58.84,709040.0,797700.0,0.8561,0.0467999999999999,0.0745,0.2503,0.2317,0.3151,92.17,80.58,42.0,92.0,-50.0,1,75.67,0
1861,7.26,6.68,9.99,1.15,40860.0,88210.0,0.0558,-0.0384,-0.0913,-0.0116999999999999,-0.0259,0.1355,27.67,6.6,0.02,-0.23,0.25,3,6.59,0
1862,15.56,14.65,18.03,9.68,449830.0,256850.00000000003,0.9601,0.0409,0.0496999999999999,0.0518,0.0484,0.6056,19.33,16.05,10.96,15.51,-4.549999999999999,5,15.12,0
1864,47.26,43.44,61.61,29.71,4450.0,3650.0,0.0658,0.0587,0.1193,0.1205,0.4278,0.647,27.67,51.61,-2.16,4.81,-6.97,5,54.33,1
1865,9.32,10.56,19.0,7.65,6390.0,12100.0,0.0012,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,4,11.35,0
1866,9.83,9.81,10.0,9.66,20610.0,101960.0,0.0899,0.0,-0.003,-0.003,-0.1115,0.0353,27.67,9.83,0.02,-0.23,0.25,1,9.84,1
1868,7.8,8.54,10.51,2.98,9100.0,6310.0,0.0032,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,3,6.95,0
1869,17.05,20.9,28.16,12.47,55090.0,37260.0,0.6877,0.0511,-0.0778,-0.1063,-0.3043,-0.0953999999999999,29.0,16.3,0.34,-1.18,1.52,3,15.6,0
1870,346.71,315.47,369.69,227.47,1550000.0,1600000.0,0.8906999999999999,0.0494,0.0911999999999999,0.1043,0.1916,0.3461,358.86,367.39,380.5,517.2,-136.70000000000005,3,313.21,0
1871,18.19,21.04,23.69,15.66,20780.0,13960.0,0.5633,0.0409,0.0212,-0.1603,-0.1987999999999999,0.1042,22.38,18.26,0.02,-0.23,0.25,1,18.35,1
1873,15.36,14.69,16.35,10.4,2820000.0,1610000.0,0.7559,0.0405,-0.0181,-0.0175,0.0624,0.4609,16.8,15.14,236.41,236.5,-0.0900000000000034,1,17.16,1
1874,40.8,40.31,54.65,32.85,879230.0,681580.0,0.8604999999999999,0.0064,0.0908,0.0392,0.0608,0.1153999999999999,48.6,42.61,-2.08,3.83,-5.91,7,37.71,0
