,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
445,0.20%,0.30%,0.71%,1.02%,-8.09%,-,9.90
446,-47.94%,-48.44%,-63.14%,-72.99%,-45.81%,17.75,2.58
447,0.14%,1.13%,23.09%,21.43%,-,115.50,93.77
448,4.56%,12.92%,-10.67%,14.54%,-,39.20,32.71
449,1.87%,16.74%,15.25%,-3.89%,-20.00%,9.20,2.83
450,-10.00%,-38.07%,-41.30%,-59.34%,-67.15%,-,1.42
451,-10.29%,-24.69%,-42.72%,-59.33%,-60.52%,7.50,1.27
452,,,,,,,
453,-11.97%,-29.85%,-37.87%,-61.87%,-61.16%,22.00,2.29
454,0.40%,-0.10%,-,-,-,-,9.95
455,,,,,,,
456,14.34%,13.84%,58.66%,109.35%,184.96%,128.56,118.17
457,,,,,,,
458,3.89%,6.88%,14.83%,14.54%,26.35%,49.83,44.63
459,-4.65%,-20.00%,-29.52%,-53.46%,-43.22%,16.00,8.54
460,15.31%,30.01%,-9.34%,-24.92%,-29.05%,53.43,20.73
461,-17.74%,18.32%,-20.31%,-86.54%,-84.55%,5.50,1.16
462,2.24%,69.12%,55.07%,36.29%,21.54%,99.23,93.28
463,4.15%,2.16%,2.06%,6.43%,25.15%,22.27,21.04
464,,,,,,,
465,16.54%,-10.40%,-,-,-,18.36,12.73
466,-27.34%,-13.30%,-43.10%,-72.70%,-67.26%,15.00,2.31
467,,,,,,,
468,-0.15%,0.00%,-,-,-,-,9.80
469,,,,,,,
470,,,,,,,
471,5.48%,-34.92%,10.22%,135.35%,-,-,23.75
472,1.83%,1.95%,1.46%,1.83%,21.74%,38.00,35.24
473,,,,,,,
474,-0.31%,-0.10%,0.62%,0.52%,-,-,9.71
475,1.62%,-,-,-,-,-,10.03
476,1.29%,5.99%,19.86%,26.08%,25.57%,55.00,46.36
477,,,,,,,
478,1.19%,-5.56%,-1.16%,0.00%,23.64%,-,3.40
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,-12.61%,-24.04%,-36.50%,-50.75%,-6.40%,-,2.09
483,,,,,,,
484,1.39%,3.42%,20.98%,9.87%,16.51%,173.86,152.12
485,-7.33%,-13.66%,-44.51%,-68.51%,-71.41%,12.00,1.90
486,-2.20%,-1.77%,-36.21%,-42.78%,-62.63%,9.58,2.32
487,,,,,,,
488,1.45%,8.46%,27.30%,11.06%,21.08%,81.33,69.97
489,,,,,,,
490,0.30%,-23.94%,-10.13%,-4.38%,28.23%,-,13.51
491,-9.44%,-16.67%,-34.00%,-50.38%,-61.63%,-,0.69
492,9.51%,-4.22%,-2.91%,9.58%,-16.51%,32.62,17.35
493,3.04%,12.50%,-72.55%,-58.94%,-77.58%,13.67,8.99
494,,,,,,,
