,Perf_Week,Perf_Month,Perf_Quarter,Perf_Half_Year,Perf_Year,Analyst_Mean_Target_Price,Current_Stock_Price
4045,,,,,,,
4046,-0.87%,-58.29%,-47.26%,-62.50%,-62.60%,12.25,7.02
4047,-3.45%,-10.54%,-20.58%,-20.79%,-,25.25,12.68
4048,,,,,,,
4049,-7.06%,-24.36%,-37.50%,-,-,30.00,9.80
4050,,,,,,,
4051,,,,,,,
4052,0.05%,-3.92%,5.43%,-9.75%,-18.07%,28.72,18.67
4053,7.39%,1.26%,14.17%,19.44%,180.04%,44.60,27.27
4054,-6.83%,-21.63%,-45.32%,-,-,27.33,10.52
4055,,,,,,,
4056,-6.14%,-17.05%,-19.55%,-27.70%,19.26%,-,1.06
4057,-7.65%,-2.93%,-35.51%,-23.52%,-,14.49,7.82
4058,40.01%,37.44%,75.62%,12.61%,112.70%,-,1.48
4059,,,,,,,
4060,3.02%,-0.53%,106.04%,65.93%,207.38%,3.50,3.77
4061,0.16%,-16.24%,-37.18%,-57.94%,-36.36%,4.00,0.98
4062,-6.59%,-32.94%,-18.66%,-45.50%,-46.18%,20.94,11.63
4063,-10.08%,-68.54%,-76.05%,-82.55%,-80.19%,53.67,26.68
4064,-12.18%,-25.14%,-55.08%,-68.36%,4.58%,-,1.40
4065,-7.61%,-17.21%,-22.26%,-43.33%,-62.91%,8.70,2.60
4066,15.30%,-4.09%,-37.57%,-18.85%,-27.24%,8.00,2.09
4067,-0.04%,0.57%,5.23%,5.52%,8.33%,64.50,53.50
4068,2.24%,12.09%,8.66%,32.67%,129.96%,59.44,54.68
4069,,,,,,,
4070,-6.03%,-22.95%,-42.03%,-65.63%,-43.81%,1.55,0.35
4071,1.86%,4.99%,8.22%,15.95%,63.96%,78.76,74.86
4072,6.67%,-1.09%,6.69%,15.89%,33.67%,715.68,645.00
4073,,,,,,,
4074,-2.83%,4.32%,-9.58%,-17.49%,-28.81%,51.67,31.36
4075,7.92%,5.78%,13.27%,28.71%,92.30%,37.17,35.33
4076,3.34%,19.34%,-15.75%,-32.33%,-30.98%,65.86,21.42
4077,-11.25%,-24.03%,-10.42%,-48.95%,-49.22%,-,1.00
4078,3.23%,3.09%,4.50%,-4.85%,15.75%,39.64,38.14
4079,25.91%,23.40%,16.73%,-7.29%,-,33.40,8.90
4080,,,,,,,
4081,0.22%,5.13%,-15.16%,-6.99%,30.13%,70.62,49.51
4082,2.15%,13.10%,-20.07%,-22.80%,-30.88%,27.78,19.02
4083,-3.62%,-11.43%,-9.89%,29.20%,36.44%,318.11,263.34
4084,,,,,,,
4085,1.20%,-0.77%,0.25%,11.58%,43.69%,57.00,50.72
4086,2.16%,9.86%,21.86%,-5.01%,31.14%,3.75,3.77
4087,-0.30%,-0.41%,-1.90%,-,-,-,9.81
4088,0.00%,-0.88%,-13.46%,-21.33%,0.00%,5.17,2.28
4089,-4.95%,-17.22%,-29.67%,-46.11%,-34.47%,6.00,1.75
4090,4.14%,3.54%,14.40%,26.11%,44.30%,20.00,18.05
4091,,,,,,,
4092,,,,,,,
4093,,,,,,,
4094,0.00%,-,-,-,-,-,9.93
4095,-9.70%,-25.00%,-35.41%,-44.44%,-68.23%,13.00,2.72
4096,,,,,,,
4097,-0.62%,-3.67%,-7.08%,-18.97%,-36.34%,36.00,26.16
4098,1.42%,2.23%,9.93%,1.42%,2.57%,33.10,30.73
4099,,,,,,,
4100,,,,,,,
4101,-2.95%,-22.28%,-41.07%,-69.75%,-46.05%,0.65,0.35
4102,-0.24%,10.24%,27.15%,47.65%,166.74%,-,13.26
4103,,,,,,,
4104,4.65%,-13.08%,-39.06%,-5.03%,34.17%,10.88,5.80
4105,-4.37%,-38.45%,-7.52%,-38.94%,45.66%,53.62,23.91
4106,,,,,,,
4107,,,,,,,
4108,,,,,,,
4109,,,,,,,
4110,,,,,,,
4111,,,,,,,
4112,-9.61%,-36.79%,-60.33%,-,-,41.66,18.36
4113,,,,,,,
4114,-2.83%,-3.86%,-24.27%,-48.79%,-59.38%,65.33,23.91
4115,-9.76%,-16.85%,-37.98%,-59.35%,-60.89%,5.00,0.38
4116,9.92%,13.51%,-20.42%,-28.08%,42.41%,63.00,41.00
4117,,,,,,,
4118,-14.37%,52.43%,7.89%,7.89%,4.10%,13.67,10.77
4119,,,,,,,
4120,,,,,,,
4121,4.39%,1.48%,-1.44%,-8.62%,-6.71%,137.97,114.51
4122,,,,,,,
4123,,,,,,,
4124,,,,,,,
4125,1.07%,1.49%,7.60%,-8.65%,-3.09%,137.58,104.46
4126,,,,,,,
4127,,,,,,,
4128,-2.05%,-5.56%,-,-,-,15.29,12.83
4129,,,,,,,
4130,,,,,,,
4131,1.27%,17.09%,-6.36%,-13.72%,14.66%,25.00,20.11
4132,5.72%,-6.73%,-15.08%,-,-,20.50,10.41
4133,4.66%,5.71%,17.78%,14.07%,6.24%,30.56,25.20
4134,9.50%,12.53%,11.90%,13.87%,81.73%,60.38,38.03
4135,0.75%,1.55%,-5.22%,2.14%,14.16%,256.25,204.84
4136,6.36%,14.55%,5.26%,10.86%,83.15%,89.00,77.00
4137,23.15%,17.65%,1.21%,-49.80%,-,13.00,5.17
4138,3.85%,13.50%,-2.25%,4.83%,62.58%,10.00,7.72
4139,3.26%,3.69%,-0.92%,-10.75%,-5.58%,37.00,23.15
4140,,,,,,,
4141,,,,,,,
4142,,,,,,,
4143,1.90%,10.71%,1.32%,-11.04%,57.32%,43.67,30.14
4144,,,,,,,
4145,2.00%,-2.68%,1.24%,12.83%,25.17%,22.33,16.44
4146,,,,,,,
4147,,,,,,,
4148,,,,,,,
4149,4.10%,7.15%,10.01%,141.13%,371.07%,14.05,13.10
4150,4.06%,7.21%,32.17%,24.25%,71.88%,29.83,29.47
4151,2.10%,6.97%,-5.02%,-7.04%,54.91%,-,17.15
4152,,,,,,,
4153,7.26%,-38.12%,4.99%,-,-,28.40,18.25
4154,0.26%,-5.69%,6.61%,27.14%,35.06%,145.13,121.25
4155,,,,,,,
4156,,,,,,,
4157,-16.67%,-16.67%,-38.20%,-67.00%,-70.43%,9.12,1.64
4158,-4.58%,-6.72%,-13.79%,-26.04%,-13.19%,3.50,1.25
4159,-5.57%,-8.02%,-20.25%,-44.05%,-23.68%,6.00,4.05
4160,,,,,,,
4161,,,,,,,
4162,-0.45%,-0.20%,0.71%,0.82%,-,-,9.90
4163,-5.19%,-5.19%,-28.78%,-36.80%,-50.68%,5.50,1.51
4164,-10.52%,-10.85%,-23.54%,-53.64%,-,33.83,17.50
4165,2.67%,0.77%,-28.35%,-48.87%,-12.64%,28.80,17.15
4166,8.95%,9.10%,48.78%,70.79%,55.58%,-,40.10
4167,-13.02%,-32.83%,-24.42%,-24.27%,-24.20%,24.00,7.45
4168,-6.64%,-6.50%,-24.31%,-40.15%,-47.54%,59.75,38.99
4169,17.35%,28.05%,42.98%,-,-,-,33.00
4170,-9.61%,-17.75%,-54.36%,-60.45%,-74.27%,1.38,0.33
4171,,,,,,,
4172,-5.51%,-3.05%,-42.11%,-37.50%,-15.45%,11.67,6.66
4173,14.68%,180.27%,158.26%,77.05%,-15.21%,-,6.80
4174,,,,,,,
4175,3.76%,-18.17%,-44.76%,-,-,47.14,20.80
4176,,,,,,,
4177,-2.61%,-13.22%,-13.84%,-32.29%,-38.75%,77.12,42.82
4178,-11.03%,-20.33%,-48.21%,-49.99%,-35.83%,3.50,0.74
4179,-6.72%,-35.25%,-26.59%,-,-,15.50,4.85
4180,-6.43%,-43.22%,-,-,-,22.89,8.57
4181,-5.05%,-14.76%,-19.56%,-33.68%,-39.41%,46.78,21.60
4182,0.30%,-6.53%,-9.41%,-30.37%,-34.48%,53.78,27.74
4183,-2.61%,-16.06%,0.68%,-35.64%,-48.89%,4.67,2.96
4184,,,,,,,
4185,-3.45%,-18.84%,-33.33%,-29.11%,-40.43%,-,1.70
4186,-3.35%,3.45%,-12.18%,-24.47%,-,13.33,7.72
4187,,,,,,,
4188,,,,,,,
4189,1.90%,8.73%,8.66%,9.46%,46.78%,20.00,19.46
4190,,,,,,,
4191,-3.38%,32.99%,-40.25%,-44.10%,-39.66%,28.11,16.90
4192,,,,,,,
4193,,,,,,,
4194,1.47%,-8.37%,-35.30%,-66.22%,-62.75%,20.40,4.78
4195,,,,,,,
4196,-6.61%,21.24%,-18.65%,-45.20%,-64.09%,30.14,10.66
4197,-1.61%,10.31%,2.18%,-19.84%,-5.86%,9.33,6.11
4198,-0.43%,-0.80%,2.16%,7.72%,19.93%,-,16.05
4199,0.00%,0.37%,-25.34%,-37.56%,-23.01%,8.00,2.71
4200,,,,,,,
4201,,,,,,,
4202,,,,,,,
4203,,,,,,,
4204,3.31%,3.44%,6.55%,10.16%,50.19%,8.00,7.73
4205,2.60%,-17.06%,-,-,-,134.86,105.01
4206,,,,,,,
4207,,,,,,,
4208,,,,,,,
4209,-7.05%,-26.71%,-22.71%,4.04%,10.11%,21.20,11.89
4210,,,,,,,
4211,-1.31%,-7.75%,9.77%,6.46%,101.56%,-,7.86
4212,,,,,,,
4213,-3.01%,-2.80%,-25.79%,-51.05%,-33.80%,376.22,233.47
4214,-2.07%,-2.26%,-1.68%,-1.78%,-2.50%,-,9.95
4215,-8.86%,-29.24%,-45.25%,-73.38%,-82.94%,6.38,3.14
4216,,,,,,,
4217,,,,,,,
4218,,,,,,,
4219,-8.78%,-8.33%,-30.29%,-5.31%,-,15.33,9.77
4220,1.86%,-3.36%,8.91%,-2.54%,-19.44%,51.43,40.26
4221,-5.15%,-6.11%,-5.84%,-6.98%,0.91%,-,9.23
4222,-5.77%,-15.94%,-43.35%,-59.16%,33.65%,25.67,10.15
4223,2.90%,0.78%,3.54%,-1.09%,37.56%,62.50,40.93
4224,6.13%,6.33%,21.33%,29.72%,37.61%,63.25,55.89
4225,,,,,,,
4226,,,,,,,
4227,3.11%,-0.87%,17.81%,-,-,39.38,39.69
4228,2.69%,5.12%,6.25%,1.09%,31.64%,32.50,31.49
4229,,,,,,,
4230,,,,,,,
4231,,,,,,,
4232,-6.15%,-20.26%,-41.06%,-29.89%,-6.15%,-,1.25
4233,-10.52%,-21.41%,-41.87%,-51.71%,-12.56%,17.83,5.45
4234,,,,,,,
4235,,,,,,,
4236,5.86%,8.94%,11.94%,-6.88%,63.73%,23.88,19.56
4237,2.19%,-8.21%,-10.05%,-8.03%,-0.99%,17.00,14.05
4238,,,,,,,
4239,,,,,,,
4240,-4.17%,-16.76%,-13.81%,-19.67%,47.14%,10.25,4.54
4241,,,,,,,
4242,-1.32%,-3.16%,-26.24%,-39.19%,20.10%,146.00,94.80
4243,2.70%,-5.70%,4.15%,22.78%,81.70%,840.10,687.39
4244,1.22%,-0.70%,1.53%,0.50%,-,-,9.91
4245,,,,,,,
4246,,,,,,,
4247,,,,,,,
4248,,,,,,,
4249,,,,,,,
4250,,,,,,,
4251,2.19%,-2.35%,1.86%,10.90%,35.47%,59.00,52.53
4252,,,,,,,
4253,1.03%,1.17%,1.58%,1.03%,44.53%,199.29,189.77
4254,-4.35%,-3.65%,-13.16%,-33.83%,-52.36%,20.33,8.03
4255,6.35%,12.04%,7.60%,7.96%,33.82%,48.00,42.01
4256,,,,,,,
4257,,,,,,,
4258,2.48%,8.77%,-2.36%,-27.06%,0.81%,5.00,1.29
4259,,,,,,,
4260,,,,,,,
4261,1.27%,-11.41%,25.90%,1.64%,-6.05%,-,5.62
4262,-3.30%,1.06%,-17.77%,-10.80%,-45.82%,55.80,26.10
4263,-9.02%,-14.43%,-38.91%,-55.85%,-57.97%,74.00,35.40
4264,-10.97%,-14.71%,-34.78%,-19.59%,-2.61%,19.29,13.67
4265,-4.46%,28.63%,30.24%,28.50%,22.85%,18.33,12.85
4266,18.18%,-8.92%,38.16%,-8.04%,-38.36%,-,5.74
4267,,,,,,,
4268,-19.90%,-35.80%,-58.85%,-76.89%,-89.47%,12.00,1.65
4269,-15.22%,-14.19%,18.91%,-13.72%,-13.49%,23.50,6.48
4270,-0.55%,-5.61%,-15.74%,-38.42%,-28.20%,24.78,13.15
4271,3.28%,2.98%,4.32%,3.34%,21.90%,36.92,35.24
4272,5.29%,10.51%,38.39%,30.79%,89.27%,105.20,115.18
4273,,,,,,,
4274,-0.61%,-0.89%,-,-,-,-,10.00
4275,,,,,,,
4276,5.17%,2.23%,8.28%,9.80%,15.89%,-,9.18
4277,,,,,,,
4278,-9.96%,0.79%,-35.62%,-33.83%,-60.73%,53.67,23.06
4279,,,,,,,
4280,-4.76%,-33.23%,-40.86%,-68.59%,-60.36%,12.25,4.70
4281,-4.08%,-8.16%,-29.26%,-19.84%,-1.53%,167.33,93.61
4282,5.45%,1.83%,17.81%,30.54%,27.34%,97.60,89.90
4283,,,,,,,
4284,-8.91%,-24.94%,-37.87%,-41.73%,-48.45%,4.00,1.00
4285,,,,,,,
4286,-14.16%,-28.68%,-55.26%,-50.31%,-,12.00,5.22
4287,-4.39%,20.80%,98.01%,81.04%,73.82%,8.89,7.24
4288,-7.59%,-22.54%,-36.19%,-,-,-,1.31
4289,-8.08%,-33.58%,-51.08%,-,-,-,1.88
4290,-10.29%,-31.32%,-31.58%,-,-,18.50,7.01
4291,1.40%,-1.13%,28.05%,-63.44%,-64.38%,19.12,8.82
4292,0.34%,-0.67%,-21.97%,-29.52%,-23.45%,12.50,9.03
4293,2.68%,8.44%,9.73%,28.35%,118.21%,80.67,86.70
4294,-0.87%,-0.29%,-2.03%,-13.66%,-0.77%,-,10.38
4295,,,,,,,
4296,6.00%,-6.02%,-20.28%,-42.91%,121.65%,23.00,29.17
4297,2.64%,-24.60%,-51.05%,-62.54%,-22.33%,-,2.46
4298,-1.61%,0.71%,-54.95%,-70.47%,-82.92%,46.50,8.70
4299,-2.08%,0.47%,-18.09%,-15.16%,-5.71%,32.75,25.96
4300,-3.69%,-31.36%,-56.28%,-63.52%,-64.35%,11.40,3.58
4301,,,,,,,
4302,-0.20%,-2.39%,-13.61%,-6.50%,77.12%,246.80,182.80
4303,,,,,,,
4304,-2.07%,-13.64%,-17.92%,-38.96%,-23.07%,51.83,30.24
4305,5.62%,-0.40%,26.82%,31.60%,75.82%,54.67,49.17
4306,5.57%,-5.68%,50.81%,127.54%,177.60%,327.67,291.54
4307,2.99%,-,-,-,-,-,10.01
4308,-6.79%,-31.33%,-37.58%,-57.17%,-52.75%,-,2.27
4309,-3.22%,-10.20%,-32.27%,-54.65%,-7.91%,11.33,3.50
4310,,,,,,,
4311,,,,,,,
4312,1.56%,-4.12%,12.76%,-10.64%,22.88%,20.95,17.15
4313,-7.51%,-7.95%,-23.96%,-,-,39.33,17.91
4314,1.64%,-24.08%,-39.02%,-52.31%,-39.02%,6.00,1.81
4315,1.61%,-1.88%,16.42%,30.64%,139.92%,373.61,322.83
4316,3.65%,0.56%,10.66%,3.30%,17.26%,48.50,42.72
4317,,,,,,,
4318,4.37%,4.52%,47.24%,35.07%,66.18%,200.00,209.30
4319,-1.55%,-2.04%,0.10%,0.90%,-,-,10.07
4320,,,,,,,
4321,0.10%,-0.20%,2.96%,2.44%,-,-,10.10
4322,-1.46%,-14.69%,-28.35%,-62.26%,54.66%,-,4.43
4323,4.02%,3.96%,9.23%,11.77%,16.25%,21.44,16.66
4324,,,,,,,
4325,-0.63%,2.75%,23.12%,-11.56%,-32.25%,60.67,49.42
4326,-0.56%,-6.60%,-1.38%,-60.88%,-,27.67,11.41
4327,,,,,,,
4328,,,,,,,
4329,-7.14%,-17.20%,-38.39%,-52.38%,-53.74%,7.80,1.31
4330,8.99%,-24.81%,-,-,-,40.33,33.95
4331,,,,,,,
4332,-5.56%,-22.81%,-20.40%,-6.90%,-11.40%,14.00,9.18
4333,0.59%,-21.74%,-43.59%,-46.74%,-,24.25,16.55
4334,-3.79%,-0.70%,-1.00%,-,-,-,9.90
4335,,,,,,,
4336,,,,,,,
4337,,,,,,,
4338,,,,,,,
4339,,,,,,,
4340,8.27%,26.82%,227.85%,87.54%,378.49%,-,45.38
4341,-0.40%,-21.51%,-18.85%,-49.74%,1.81%,27.25,17.79
4342,,,,,,,
4343,,,,,,,
4344,-0.20%,-0.30%,0.20%,-2.37%,-,-,9.85
4345,,,,,,,
4346,,,,,,,
4347,-1.02%,-2.02%,-27.41%,-45.23%,-31.93%,17.75,7.05
4348,,,,,,,
4349,-11.52%,-28.24%,-49.98%,-59.64%,-75.40%,6.00,0.47
4350,-12.18%,-4.95%,-27.31%,-52.73%,-73.98%,9.58,1.87
4351,-6.72%,-19.92%,-33.32%,-36.93%,-44.44%,4.88,0.71
4352,-1.93%,-10.19%,-9.35%,-15.26%,-,17.67,11.32
4353,,,,,,,
4354,,,,,,,
4355,-9.06%,-39.25%,-67.88%,-84.00%,-87.56%,1.50,0.93
4356,-9.21%,-42.87%,-,-,-,-,10.42
4357,-5.00%,-15.56%,-25.85%,-37.87%,-38.21%,-,4.59
4358,4.91%,-6.18%,-15.97%,-,-,23.00,13.03
4359,0.78%,8.66%,-11.15%,-3.63%,-15.12%,31.67,23.64
4360,,,,,,,
4361,6.80%,0.48%,2.35%,11.49%,63.88%,-,45.35
4362,,,,,,,
4363,6.03%,10.16%,14.30%,20.97%,48.83%,31.00,27.96
4364,3.17%,5.97%,18.75%,23.91%,81.79%,64.33,62.80
4365,,,,,,,
4366,3.70%,-1.29%,7.44%,-,-,18.50,14.53
4367,,,,,,,
4368,,,,,,,
4369,5.80%,6.71%,16.98%,35.94%,53.06%,24.02,25.98
4370,,,,,,,
4371,-14.00%,-18.35%,-42.15%,-65.60%,-61.83%,6.20,1.37
4372,10.35%,5.83%,-16.12%,9.24%,-25.48%,41.20,16.10
4373,,,,,,,
4374,1.28%,-7.60%,-16.04%,-20.11%,-32.94%,166.59,117.26
4375,-4.50%,6.69%,-24.18%,-,-,29.34,18.45
4376,-0.21%,-0.71%,0.36%,-1.22%,-,-,9.76
4377,,,,,,,
4378,,,,,,,
4379,0.30%,1.11%,10.79%,0.50%,-1.57%,-,10.07
4380,-0.31%,-0.71%,-,-,-,-,9.78
4381,-3.70%,-20.75%,-25.09%,1.04%,91.14%,152.00,94.28
4382,2.64%,65.89%,-30.18%,-61.82%,-80.68%,11.00,4.94
4383,,,,,,,
4384,,,,,,,
4385,,,,,,,
4386,,,,,,,
4387,6.18%,17.74%,9.77%,-5.81%,4.29%,6.62,3.10
4388,,,,,,,
4389,0.04%,0.25%,0.88%,201.69%,192.80%,52.00,51.67
4390,,,,,,,
4391,-4.02%,-31.96%,-6.11%,-60.69%,-39.44%,-,2.23
4392,,,,,,,
4393,2.11%,1.58%,4.74%,4.65%,71.49%,77.95,61.97
4394,,,,,,,
4395,4.31%,-3.87%,-5.78%,19.01%,6.87%,50.25,41.78
4396,2.74%,6.03%,8.48%,23.74%,26.23%,6.50,5.75
4397,,,,,,,
4398,5.70%,0.90%,16.78%,11.36%,43.23%,32.00,26.56
4399,2.86%,-4.40%,7.97%,4.39%,34.35%,55.90,45.95
4400,5.85%,4.81%,7.40%,25.15%,59.82%,64.33,63.83
4401,0.61%,0.51%,-,-,-,-,9.85
4402,5.10%,-5.98%,-6.10%,1.93%,4.76%,78.00,61.97
4403,4.07%,72.96%,-,-,-,-,5.90
4404,,,,,,,
4405,,,,,,,
4406,5.47%,3.72%,15.50%,49.25%,52.65%,-,36.20
4407,,,,,,,
4408,,,,,,,
4409,8.35%,9.30%,23.62%,36.15%,74.05%,17.94,12.54
4410,,,,,,,
4411,2.41%,8.24%,11.29%,25.40%,23.38%,28.50,27.57
4412,2.58%,-2.21%,-13.94%,9.65%,37.41%,-,15.30
4413,-1.07%,-3.76%,-12.74%,-32.98%,-52.14%,20.00,14.13
4414,,,,,,,
4415,2.51%,-4.84%,-19.33%,-27.15%,-,43.00,27.89
4416,,,,,,,
4417,,,,,,,
4418,,,,,,,
4419,-5.55%,-7.02%,-12.68%,-37.79%,27.79%,0.79,0.62
4420,,,,,,,
4421,-5.89%,-31.55%,-21.27%,-41.27%,-48.63%,72.61,34.37
4422,-11.63%,-31.94%,-24.75%,-57.70%,-23.75%,6.08,2.42
4423,,,,,,,
4424,,,,,,,
4425,,,,,,,
4426,,,,,,,
4427,,,,,,,
4428,,,,,,,
4429,1.21%,-1.35%,11.88%,-2.44%,19.25%,36.50,30.23
4430,,,,,,,
4431,-9.64%,-5.36%,-32.41%,-48.94%,-70.18%,2.85,0.74
4432,8.04%,17.24%,25.93%,-19.96%,84.56%,63.00,53.32
4433,,,,,,,
4434,,,,,,,
4435,-0.07%,-7.70%,-19.68%,-19.42%,-29.87%,32.38,15.34
4436,,,,,,,
4437,,,,,,,
4438,,,,,,,
4439,,,,,,,
4440,,,,,,,
4441,8.09%,11.32%,45.08%,54.85%,120.28%,-,15.72
4442,-3.27%,-10.36%,-12.19%,-12.99%,32.25%,-,8.83
4443,,,,,,,
4444,-0.75%,33.06%,7.82%,22.83%,-9.48%,30.60,22.12
4445,,,,,,,
4446,,,,,,,
4447,4.00%,4.94%,23.40%,35.41%,47.13%,387.94,372.89
4448,,,,,,,
4449,,,,,,,
4450,,,,,,,
4451,-5.90%,-16.67%,-22.45%,-38.53%,-70.22%,17.14,3.42
4452,3.95%,-9.93%,1.15%,-27.75%,-8.84%,5.12,2.69
4453,1.76%,-14.97%,-13.70%,-12.66%,-,19.38,8.41
4454,3.69%,4.24%,9.72%,6.10%,7.38%,22.00,19.60
4455,3.28%,8.26%,15.68%,20.79%,39.47%,380.32,386.09
4456,2.17%,0.28%,2.80%,-0.45%,9.50%,72.60,61.98
4457,-9.00%,-12.73%,-40.19%,-65.09%,-67.40%,9.00,1.96
4458,6.00%,13.35%,0.64%,-30.41%,-25.66%,35.29,22.40
4459,,,,,,,
4460,3.79%,-4.72%,-4.33%,-1.56%,6.01%,19.84,18.44
4461,13.52%,22.70%,59.11%,50.00%,98.06%,72.00,71.65
4462,-12.68%,-41.23%,-47.01%,-78.21%,-84.48%,5.75,1.35
4463,3.49%,-0.39%,-11.59%,-8.01%,-1.30%,45.67,28.37
4464,1.69%,0.52%,-11.95%,44.37%,33.14%,191.00,144.67
4465,2.51%,5.68%,18.52%,15.10%,15.37%,89.64,82.97
4466,-0.75%,-4.73%,21.64%,11.03%,-11.86%,26.19,17.50
4467,,,,,,,
4468,0.80%,-0.69%,2.97%,1.72%,-,-,10.06
4469,-0.10%,0.10%,2.04%,0.81%,-,-,10.03
4470,,,,,,,
4471,3.12%,3.84%,-9.32%,-25.66%,-22.64%,17.34,13.69
4472,-1.95%,10.26%,-28.05%,-31.57%,-27.44%,11.50,8.81
4473,4.61%,7.84%,5.51%,7.32%,8.19%,-,84.46
4474,-0.84%,0.32%,8.94%,12.77%,9.28%,-,24.08
4475,3.41%,10.30%,-3.74%,-25.19%,-51.24%,74.25,43.31
4476,6.47%,0.10%,40.67%,60.11%,83.96%,334.60,335.92
4477,-6.65%,-27.40%,-51.72%,-53.54%,-44.02%,4.62,0.51
4478,6.43%,-1.97%,-13.37%,16.86%,183.81%,5.42,3.10
4479,-5.23%,-13.39%,-28.58%,-21.72%,-,37.50,16.16
4480,9.69%,0.25%,-18.05%,-22.81%,-43.54%,45.00,28.29
4481,,,,,,,
4482,2.02%,1.28%,4.32%,8.97%,49.12%,52.00,48.33
4483,0.12%,-19.08%,-4.51%,-11.59%,21.05%,-,16.64
4484,0.65%,-3.95%,18.09%,30.45%,14.33%,38.40,35.07
4485,-0.19%,13.90%,2.47%,17.01%,-47.06%,123.47,92.02
4486,,,,,,,
4487,2.53%,-0.41%,5.87%,-30.92%,5.64%,11.67,4.84
4488,-1.86%,-29.67%,-35.57%,-53.01%,-65.94%,-,4.18
4489,,,,,,,
4490,0.00%,-0.51%,0.00%,-0.10%,-,-,9.76
4491,6.01%,11.10%,-0.92%,26.63%,39.03%,46.33,35.47
4492,3.79%,4.86%,21.06%,5.59%,71.55%,70.00,52.87
4493,4.37%,7.37%,14.83%,7.26%,66.08%,26.00,40.58
4494,,,,,,,
4495,,,,,,,
4496,,,,,,,
4497,6.06%,2.58%,-22.01%,-15.29%,62.54%,85.25,69.18
4498,,,,,,,
4499,,,,,,,
4500,-7.82%,96.36%,52.78%,27.91%,58.65%,3.00,1.64
4501,,,,,,,
4502,1.44%,-3.87%,-3.25%,0.66%,-14.66%,192.83,158.73
4503,-1.52%,-7.56%,-37.58%,-20.87%,84.45%,1.94,0.90
4504,0.20%,-,-,-,-,-,9.87
4505,-12.44%,-17.56%,-45.66%,-65.79%,-28.39%,-,1.73
4506,-1.60%,-10.24%,-19.28%,-13.92%,13.68%,16.83,16.53
4507,,,,,,,
4508,0.00%,-4.02%,-30.71%,-36.74%,14.38%,9.50,1.62
4509,,,,,,,
4510,-0.30%,12.20%,-19.66%,-20.81%,8.17%,8.83,3.43
4511,1.57%,6.22%,6.36%,0.99%,23.87%,86.80,82.14
4512,-10.70%,-31.80%,-40.31%,-75.05%,39.94%,-,4.79
4513,,,,,,,
4514,2.42%,10.27%,-2.77%,-7.32%,22.39%,-,47.49
4515,0.00%,-0.51%,0.21%,-0.31%,-,-,9.75
4516,-11.67%,-37.28%,-41.07%,-65.26%,-65.91%,-,0.37
4517,,,,,,,
4518,-4.68%,-14.93%,-26.74%,-11.92%,0.15%,-,2.86
4519,,,,,,,
4520,,,,,,,
4521,,,,,,,
4522,2.48%,-10.56%,-26.58%,-30.23%,-41.79%,-,0.99
4523,-9.80%,-24.90%,4.96%,-82.61%,-35.71%,2.25,0.83
4524,,,,,,,
4525,,,,,,,
4526,-8.48%,-27.87%,-39.76%,-51.19%,-58.06%,13.67,4.86
4527,6.50%,-5.26%,-17.03%,-30.00%,-21.97%,15.25,7.27
4528,0.00%,-0.59%,-,-,-,-,9.73
4529,101.70%,69.05%,27.93%,-39.83%,-45.38%,-,1.33
4530,-3.86%,-26.88%,-33.00%,6.33%,119.61%,-,6.81
4531,-6.64%,-18.83%,-14.84%,-32.25%,-,38.91,25.04
4532,1.39%,-0.89%,14.01%,11.83%,95.22%,57.50,40.05
4533,6.76%,5.09%,17.61%,24.42%,41.19%,22.00,20.83
4534,,,,,,,
4535,-18.51%,-28.38%,-51.54%,-67.44%,-60.93%,2.62,0.64
4536,,,,,,,
4537,2.15%,8.00%,12.08%,8.25%,15.56%,30.00,27.53
4538,,,,,,,
4539,-4.09%,-8.13%,0.94%,10.89%,35.62%,37.00,21.48
4540,-2.45%,-7.13%,3.42%,20.38%,4.28%,-,7.67
4541,-6.32%,-29.18%,-52.66%,-75.12%,-92.86%,7.15,2.96
4542,3.06%,7.45%,25.78%,90.93%,371.24%,-,9.90
4543,-9.61%,27.33%,10.38%,108.10%,125.00%,-,10.42
4544,1.68%,15.57%,24.14%,13.69%,22.35%,65.00,50.10
4545,,,,,,,
4546,2.65%,5.14%,-20.17%,-8.52%,-27.61%,61.50,44.15
4547,0.20%,-0.41%,0.20%,1.55%,-,-,9.85
4548,,,,,,,
4549,,,,,,,
4550,-8.57%,-11.19%,-41.33%,-79.96%,-83.27%,36.80,6.77
4551,3.97%,1.88%,-0.43%,1.84%,40.94%,32.00,29.95
4552,5.29%,10.70%,18.51%,14.52%,40.54%,42.00,41.45
4553,-6.52%,7.95%,-21.83%,-23.99%,-19.97%,32.00,26.72
4554,22.25%,32.94%,100.88%,41.18%,128.00%,-,4.60
4555,,,,,,,
4556,-0.62%,1.59%,4.43%,-2.60%,-0.62%,7.48,6.43
4557,0.63%,-5.85%,-6.67%,-62.51%,-68.29%,10.00,3.07
4558,,,,,,,
4559,-0.92%,-25.40%,-23.29%,-56.17%,-70.73%,-,0.96
4560,,,,,,,
4561,-1.18%,-2.05%,-20.70%,-6.94%,0.40%,60.00,40.32
4562,,,,,,,
4563,-0.71%,-4.79%,-44.84%,-66.10%,-68.94%,-,1.37
