Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Sector,Symbol,Current_Stock_Price/Avg_50
2.7198,3.2566,12.49,1.45,181710.0,275500.0,0.1814,-0.0248,-0.2335,-0.491,-0.5996,-0.0574,9.33,2.02,-2.01,-2.1,Healthcare,AEMD,0.7427016692403853
6.28,7.34,11.74,4.78,838410.0,1800000.0,0.6462,-0.0401,-0.20379999999999998,-0.0581,-0.3518,-0.0708,13.35,5.82,-17.09,-18.75,Healthcare,AFMD,0.9267515923566879
132.63,90.99,176.65,46.5,9000000.0,12810000.0,0.7195,-0.0516,-0.2563,-0.1285,0.4592,0.0353,155.79,104.18,-306.62,-153.21,Technology,AFRM,0.7854934780969616
15.3,20.74,28.23,12.62,244670.0,171680.0,0.6613,0.0906,0.0633,-0.20829999999999999,-0.4073,-0.38780000000000003,24.58,15.59,53.03,17.24,Consumer Defensive,AFYA,1.018954248366013
3.6876,4.4592,6.79,2.5,5790000.0,4450000.0,0.5046,-0.0398,0.073,-0.355,-0.3843,0.0662,10.0,3.47,178.55,-83.29,Healthcare,AGEN,0.9409914307408612
9.74,9.71,9.95,9.58,38490.0,30130.0,0.5351,0.0,-0.0021,0.0021,-0.1115,0.0353,27.67,9.74,0.02,-0.23,Financial Services,AGGR,1.0
8.83,10.0,36.13,4.8,277330.0,119270.0,0.396,-0.4376,-0.5024000000000001,-0.4339,-0.483,-0.4825,27.67,5.23,-4.99,0.93,Technology,AGIL,0.5922989807474519
39.39,48.37,62.16,29.21,831080.0,562780.0,1.0824,-0.023399999999999997,-0.049,-0.2692,-0.3872,-0.2379,58.25,34.11,-88.77,-86.22,Healthcare,AGIO,0.865955826351866
2.2455,2.5059,8.45,1.751,103600.0,4860000.0,0.5528,-0.0711,-0.08839999999999999,-0.1478,-0.1115,0.0353,27.67,2.04,-1.82,-1.21,Consumer Defensive,AGRI,0.9084836339345358
15.82,16.05,35.94,6.81,974970.0,832730.0,0.2293,-0.0942,-0.4072,-0.5499,-0.21600000000000003,0.0353,34.0,9.51,-32.26,-21.62,Industrials,AGFY,0.6011378002528445
10.01,10.01,10.02,9.95,1050000.0,1050000.0,0.5528,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,unknown,AHRNU,1.2217782217782218
24.48,24.93,27.69,23.51,3440.0,4980.0,0.006999999999999999,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Industrials,AIRTP,0.49959150326797386
26.9,26.08,32.43,21.42,313460.0,316320.0,0.8069,0.0202,0.1142,0.1096,0.2639,-0.043,32.8,29.31,0.02,-0.23,Industrials,ATSG,1.0895910780669145
13.79,13.79,18.04,9.83,267280.0,487140.0,0.527,0.2263,0.41600000000000004,-0.058899999999999994,-0.1115,0.0353,20.0,17.64,0.02,-0.23,Healthcare,AIRS,1.2791878172588833
10.51,16.0,29.5,9.05,106330.0,72810.0,0.6572,-0.0159,0.10300000000000001,-0.1492,-0.4913,-0.4067,16.6,10.54,-3.07,-2.61,Technology,AIRG,1.0028544243577544
2.7156,3.0044,5.14,2.2,4640000.0,2670000.0,0.5863,-0.0803,-0.126,-0.1993,-0.3958,-0.15810000000000002,7.17,2.38,-59.54,-83.04,Healthcare,AKBA,0.876417734570629
22.35,24.67,34.87,17.66,194470.0,177960.0,0.8767,-0.006500000000000001,0.016200000000000003,-0.0479,-0.1423,-0.15289999999999998,47.0,21.89,-24.33,-28.93,Healthcare,AKRO,0.9794183445190157
7.23,9.44,19.15,5.88,761000.0,609130.0,0.4681,0.0014000000000000002,0.0029,-0.2746,-0.3464,-0.4004,14.88,6.99,-12.85,-10.12,Technology,AKTS,0.966804979253112
1.7356,2.6003,4.1,1.48,105230.0,88020.0,0.32380000000000003,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Healthcare,AKU,7.046554505646462
82.35,83.4,108.67,73.61,244500.0,189670.0,0.9743,0.0302,0.0507,0.0611,-0.0051,-0.1592,111.29,84.65,13.54,14.74,Technology,ALRM,1.0279295689131756
25.83,30.32,43.41,20.3,221850.0,155590.0,0.8856,-0.008,0.0329,-0.2191,-0.33030000000000004,-0.37310000000000004,75.33,24.25,57.09,-36.42,Healthcare,ALBO,0.9388308168795975
7.5352,9.7575,15.95,3.37,3320000.0,1050000.0,0.713,0.1457,-0.4399,-0.551,-0.6461,-0.4163,20.4,4.17,-15.79,-14.94,Healthcare,ALDX,0.5534026966769297
31.58,30.53,38.31,24.06,63470.0,28760.0,0.377,0.0292,-0.0361,-0.020499999999999997,0.022099999999999998,0.0825,32.5,29.48,17.5,17.5,Financial Services,ALRS,0.9335022165927803
10.73,10.4,13.65,8.73,490660.0,571620.0,0.1775,0.1185,-0.0649,-0.0407,0.0359,0.0353,27.67,10.48,288.2,203.6,Basic Materials,ASTL,0.9767008387698043
645.67,631.72,737.45,494.45,558710.0,618840.0,0.8744,0.0392,0.0297,-0.029300000000000003,0.0693,0.2553,752.91,666.62,180.97,199.71,Healthcare,ALGN,1.032446915607044
14.63,18.84,37.51,11.11,305040.0,178640.0,0.7464,0.0152,-0.20670000000000002,-0.2051,-0.4089,-0.5408,31.5,12.35,-33.12,-29.82,Healthcare,ALGS,0.8441558441558441
2.64,2.6199,5.47,2.01,9430.0,20790.0,0.4169,-0.0239,-0.0278,-0.0993,-0.1281,0.1449,27.67,2.56,0.02,-0.23,Technology,ALYA,0.9696969696969697
25.83,30.52,49.32,17.32,1010000.0,462010.0,0.4053,0.006500000000000001,-0.2844,-0.18539999999999998,-0.4371,0.0353,39.67,21.02,-11.22,-11.38,Technology,ALKT,0.8137824235385211
0.7542,0.8884,2.55,0.57,1620000.0,3310000.0,0.1813,-0.11349999999999999,-0.225,-0.29460000000000003,-0.39909999999999995,-0.087,2.0,0.61,-0.05,-1.35,Healthcare,AIKI,0.8088040307610713
79.53,92.48,157.98,8.44,20150000.0,3500000.0,0.9964,-0.8782,-0.8698999999999999,-0.9028,-0.8795999999999999,-0.9281,77.2,10.23,-62.73,-57.21,Healthcare,ALLK,0.1286307053941909
18.88,18.88,32.44,12.56,1530000.0,3530000.0,0.5528,0.0837,-0.1679,-0.058899999999999994,-0.1115,0.0353,24.36,15.53,0.02,-0.23,Consumer Cyclical,BIRD,0.822563559322034
0.7662,1.0221,2.78,0.581,817260.0,3250000.0,0.2373,-0.1716,-0.1421,-0.3372,-0.5438000000000001,-0.5255,6.12,0.62,-12.69,-13.97,Healthcare,ALNA,0.809188201513965
1.9012,2.1529,4.31,1.378,333650.0,1210000.0,0.2119,-0.1099,-0.0116,-0.0286,-0.2609,0.011899999999999999,27.67,1.71,74.3,-2.94,Communication Services,AESE,0.899431937723543
5.6,5.87,16.41,3.45,1400000.0,1590000.0,0.0479,-0.1079,-0.15,-0.1185,0.4269,0.16899999999999998,27.67,5.75,-0.98,1.55,Healthcare,AHPI,1.0267857142857144
19.83,21.14,48.31,12.76,268740.0,185340.0,0.4158,-0.0821,-0.2444,-0.46950000000000003,-0.33130000000000004,-0.6431,42.75,13.75,-45.51,-37.59,Healthcare,ALVR,0.6933938477054968
16.27,16.2,19.01,13.05,1690000.0,1470000.0,1.1377,0.0159,0.09269999999999999,0.3762,0.0,0.29710000000000003,18.64,18.46,16.18,21.93,Healthcare,MDRX,1.13460356484327
9.82,9.73,9.91,9.6,5210.0,61560.0,0.0,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ASPC,1.2454175152749491
9.73,9.72,10.08,9.62,2210.0,3580.0,0.3122,0.002,-0.016399999999999998,-0.058899999999999994,-0.1115,0.0353,27.67,12.23,0.02,-0.23,Financial Services,ALPA,1.2569373072970196
