Avg_50,Avg_200,Week_52_High,Week_52_Low,Vol_Avg_10_Day,Vol_Avg_3_Months,Held_By_Institusion(%),Perf_Week(%),Perf_Month(%),Perf_Quarter(%),Perf_Half_Year(%),Perf_Year(%),Analyst_Mean_Target_Price,Current_Stock_Price,Last_Q_Net,Prev_Q_Net,Last_Q_Net - Prev_Q_Net,Sector,Symbol
163.83,213.71,325.12,133.62,355530.0,433900.0,0.9054,0.0322,0.1289,0.0892999999999999,-0.3328,-0.4343,204.07,166.28,45.01,80.15,-35.14000000000001,Healthcare,AMED
25.23,19.53,29.05,11.26,2850.0,18430.0,0.1402,0.002,-0.0163999999999999,-0.0588999999999999,-0.1115,0.0353,27.67,12.23,0.02,-0.23,0.25,unknown,AMTBB
726.78,641.48,769.9,439.7,41020.0,43200.0,0.3814,0.0148,0.0055,0.0915,0.2254,0.6148,875.0,722.43,409.9,345.18,64.71999999999997,Industrials,UHAL
3.8668,3.9444,5.34,3.05,4400.0,12320.0,0.436,-0.0026,0.0079,-0.0052,-0.0204,0.1994,27.67,3.85,17.11,17.13,-0.019999999999999574,Financial Services,ASRV
18.93,20.87,26.09,14.71,34580000.0,34510000.0,0.5637,-0.0039,0.0175,-0.1409,-0.149,0.1381,19.11,18.28,169.0,19.0,150.0,Industrials,AAL
189.13,163.74,195.89,88.38,225540.0,89920.0,0.9637,0.0036,-0.0038,-0.0067,0.2696,0.9786,27.67,188.45,51.05,227.98,-176.93,Financial Services,ANAT
22.14,26.64,36.62,16.4,182460.0,155390.0,0.6869,0.0379,-0.1672,-0.2482,-0.4545,0.1404,32.25,19.5,4.58,3.46,1.12,Consumer Cyclical,AOUT
26.77,23.41,33.27,16.31,113770.0,117290.0,1.1521,0.0208,0.1266,0.0847,0.1835,0.5461,33.67,26.19,3.31,2.95,0.3599999999999999,Technology,AMSWA
14.03,14.1,16.49,10.44,409800.0,536350.0,0.5771999999999999,0.0225,0.0152,-0.0786,-0.0133,0.3493,18.25,14.17,94.6,66.0,28.599999999999994,Financial Services,ATCO
67.84,79.29,108.81,56.29,209770.0,132550.0,0.9652,0.0399,0.0287,-0.0374,-0.2095,-0.3046999999999999,80.91,64.79,2.03,2.98,-0.9500000000000002,Consumer Cyclical,AMWD
24.33,24.42,27.9,22.05,20120.0,16079.999999999998,0.2257,0.0308,-0.0037,0.0516999999999999,-0.0033,0.0222,27.67,24.39,9.12,9.13,-0.010000000000001563,Financial Services,ATLO
211.22,230.06,276.69,198.64,3110000.0,2890000.0,0.7717,0.0302,0.1186,0.0591,-0.0663,0.0032,240.24,228.35,1884.0,464.0,1420.0,Healthcare,AMGN
11.16,10.34,24.84,8.6,2180000.0,2250000.0,1.0537999999999998,0.0231,0.1066,0.236,0.2386,-0.4731,17.11,12.09,-50.29,-51.23,0.9399999999999977,Healthcare,FOLD
23.04,23.63,29.5,14.82,817080.0,991210.0,0.3994,0.0978,0.1066,-0.0143,0.0482,0.6764,27.0,24.74,180.85,125.81,55.03999999999999,Technology,AMKR
3.8662,4.7491,19.8,3.169,259220.00000000003,502920.0,0.0868999999999999,-0.0447,0.0322,0.0635,-0.1685,0.1667,10.0,3.88,-0.59,-0.47,-0.12,Technology,AMPG
8.69,13.32,23.42,4.79,7320000.0,6140000.0,0.4191,-0.0842,-0.2186,-0.615,-0.6811,-0.0645,20.83,5.53,-32.94,15.38,-48.32,Basic Materials,AMRS
35.81,31.12,39.71,22.45,254840.0,169650.0,0.7945,0.0282,0.1128999999999999,0.2457,0.2787,0.6267,44.5,39.13,15.74,43.5,-27.759999999999998,Consumer Defensive,ANDE
6.61,6.98,9.33,4.4,3820.0,4880.0,0.1436,-0.0553,-0.0766,-0.1214,-0.1939999999999999,0.0353,15.0,6.14,-1.55,-29.11,27.56,Healthcare,ANEB
27.86,25.99,32.0,14.96,295490.0,211390.0,0.9755,0.06,0.0592,0.2092999999999999,0.0412999999999999,1.0143,34.5,28.46,-6.97,-19.47,12.5,Healthcare,ANGO
